"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","921","TC_LOGIN_005 - should login with visual user","","2026-04-12","passed","2026-04-12","","Login Scenarios","",""
"","6128","TC_LOGIN_003 - should login with performance glitch user","","2026-04-12","passed","2026-04-12","","Login Scenarios","",""
"","1787","TC_CHECKOUT_004 - missing postal code","","2026-04-12","passed","2026-04-12","","Data-Driven Checkout Negative Scenarios","",""
"","8050","TC_CHECKOUT_005 - long string inputs","","2026-04-12","passed","2026-04-12","","Checkout Edge Cases","",""
"","2061","TC_CHECKOUT_002 - missing first name","","2026-04-12","passed","2026-04-12","","Data-Driven Checkout Negative Scenarios","",""
"","866","should show error for locked user","","2026-04-12","passed","2026-04-12","","Login Scenarios","",""
"","2641","TC_CART_001 - should add single product to cart","","2026-04-12","passed","2026-04-12","","Cart Scenarios","",""
"","1981","TC_CHECKOUT_007 - numeric names","","2026-04-12","passed","2026-04-12","","Data-Driven Checkout Edge Scenarios","",""
"","1126","TC_LOGIN_001 - should login successfully with standard user","","2026-04-12","passed","2026-04-12","","Login Scenarios","",""
"","1137","should login successfully","","2026-04-12","passed","2026-04-12","","Login Scenarios","",""
"","1111","TC_LOGIN_001 - successful login with standard user","","2026-04-12","passed","2026-04-12","","Data-Driven Login Scenarios","",""
"","2390","TC_CHECKOUT_001 - should complete checkout successfully","","2026-04-12","passed","2026-04-12","","Checkout Flow","",""
"","2795","should complete checkout successfully","","2026-04-12","passed","2026-04-12","","Checkout Flow","",""
"","3337","TC_CHECKOUT_005 - long string input","","2026-04-12","passed","2026-04-12","","Data-Driven Checkout Edge Scenarios","",""
"","943","should show locked user error","","2026-04-12","passed","2026-04-12","","Login Scenarios","",""
"","914","TC_LOGIN_002 - error for locked out user","","2026-04-12","passed","2026-04-12","","Data-Driven Login Scenarios","",""
"","6195","TC_LOGIN_003 - successful login with delayed response","","2026-04-12","passed","2026-04-12","","Data-Driven Login Scenarios","",""
"","1877","TC_CHECKOUT_003 - missing last name","","2026-04-12","passed","2026-04-12","","Data-Driven Checkout Negative Scenarios","",""
"","911","TC_LOGIN_004 - should login with problem user","","2026-04-12","passed","2026-04-12","","Login Scenarios","",""
"","941","TC_LOGIN_004 - successful login with ui validation","","2026-04-12","passed","2026-04-12","","Data-Driven Login Scenarios","",""
"","2150","TC_CHECKOUT_006 - special characters input","","2026-04-12","passed","2026-04-12","","Data-Driven Checkout Edge Scenarios","",""
"","2074","TC_CHECKOUT_006 - special characters","","2026-04-12","passed","2026-04-12","","Checkout Edge Cases","",""
"","956","TC_LOGIN_005 - successful login with visual validation","","2026-04-12","passed","2026-04-12","","Data-Driven Login Scenarios","",""
"","927","TC_LOGIN_002 - should show error for locked user","","2026-04-12","passed","2026-04-12","","Login Scenarios","",""
